epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1023,0.80684,2.77634,1.31588,0.00374,1,0.60858,0.48694,0.49665,2.81039,1.25878,0.00018337,0.00018337,0.00018337
2,17.6889,0.61817,1.68902,1.15928,0.00349,1,0.29321,0.23059,0.93691,2.58068,1.75606,0.000379614,0.000379614,0.000379614
3,24.1212,0.61453,1.1517,1.14413,0.85282,0.74409,0.96885,0.79872,0.68418,1.68127,1.40453,0.000571898,0.000571898,0.000571898
4,28.7838,0.61249,1.04902,1.12905,0.89865,0.81052,0.88534,0.58735,1.07756,2.08308,1.98616,0.00076022,0.00076022,0.00076022
5,33.7819,0.6103,0.98991,1.1304,0.59307,0.89046,0.80029,0.60814,0.92482,1.65326,1.84425,0.000944582,0.000944582,0.000944582
6,40.0705,0.61766,0.98342,1.12467,0.64418,0.66567,0.63931,0.46988,1.11731,2.81779,1.80219,0.00112498,0.00112498,0.00112498
7,44.5752,0.65025,0.95339,1.13468,0.95429,0.70051,0.91131,0.58439,1.19667,1.57645,1.98053,0.00130142,0.00130142,0.00130142
8,49.4635,0.6522,0.9117,1.14742,0.95555,0.82955,0.96814,0.76592,0.91217,1.27883,1.65316,0.0014739,0.0014739,0.0014739
9,55.2878,0.64434,0.8884,1.1399,0.79596,0.73864,0.75157,0.56979,0.85323,1.72402,1.58544,0.00153497,0.00153497,0.00153497
10,59.7911,0.57881,0.83278,1.09563,0.58611,0.74621,0.58346,0.42444,0.83024,3.805,1.66786,0.00151847,0.00151847,0.00151847
11,65.092,0.59132,0.78452,1.09736,0.78182,0.90285,0.97674,0.79114,0.68845,1.46695,1.33397,0.00150197,0.00150197,0.00150197
12,70.4958,0.61733,0.77312,1.12259,0.74863,0.70833,0.84933,0.52822,1.00186,2.22433,1.66292,0.00148546,0.00148546,0.00148546
13,75.1158,0.62428,0.766,1.11727,0.5747,0.95833,0.65031,0.52794,0.71776,3.1048,1.47057,0.00146896,0.00146896,0.00146896
14,80.9772,0.58111,0.70833,1.1099,0.76089,0.8536,0.82434,0.66943,0.75978,1.82992,1.53061,0.00145246,0.00145246,0.00145246
15,85.7257,0.5896,0.66981,1.10066,0.57261,0.68939,0.60263,0.47596,0.84169,2.92993,1.48079,0.00143595,0.00143595,0.00143595
16,91.9108,0.58301,0.68419,1.10023,0.83737,0.84191,0.91567,0.69908,0.87741,1.3673,1.65225,0.00141945,0.00141945,0.00141945
17,99.3505,0.57625,0.68716,1.08215,0.9342,0.88942,0.9418,0.77017,0.69493,1.52043,1.54381,0.00140295,0.00140295,0.00140295
18,103.959,0.53791,0.61585,1.05723,0.67019,0.90922,0.92238,0.78652,0.65703,1.92314,1.45087,0.00138644,0.00138644,0.00138644
19,109.956,0.53026,0.59629,1.05096,0.99739,0.98576,0.995,0.7815,0.75888,0.97664,1.58053,0.00136994,0.00136994,0.00136994
20,114.629,0.56168,0.60388,1.06639,0.96328,0.91937,0.97587,0.74591,0.77488,1.02963,1.60757,0.00135344,0.00135344,0.00135344
21,119.126,0.5376,0.59971,1.06287,0.97089,0.95113,0.979,0.79837,0.6431,0.97451,1.36756,0.00133693,0.00133693,0.00133693
22,125.378,0.53918,0.57932,1.04914,0.89057,0.92049,0.97208,0.82244,0.62847,1.02828,1.31167,0.00132043,0.00132043,0.00132043
23,130.084,0.56628,0.59448,1.06399,0.98364,0.95833,0.99192,0.86945,0.56914,0.62287,1.26063,0.00130393,0.00130393,0.00130393
24,136.045,0.50519,0.53935,1.0463,0.89623,0.85505,0.92746,0.75567,0.73697,0.97385,1.41953,0.00128742,0.00128742,0.00128742
25,140.569,0.50788,0.53198,1.05153,0.97415,0.96582,0.995,0.83037,0.6429,0.81366,1.26356,0.00127092,0.00127092,0.00127092
26,145.147,0.48986,0.54514,1.04437,0.99265,1,0.995,0.89201,0.54564,0.6559,1.21051,0.00125442,0.00125442,0.00125442
27,151.682,0.51322,0.54374,1.05125,0.99038,1,0.995,0.89165,0.55901,0.55104,1.2685,0.00123791,0.00123791,0.00123791
28,156.365,0.48919,0.51532,1.02965,0.96902,0.95489,0.99192,0.8752,0.5261,0.75502,1.16474,0.00122141,0.00122141,0.00122141
29,160.908,0.48194,0.49123,1.01221,0.92453,0.82313,0.98026,0.88932,0.52969,0.79823,1.178,0.00120491,0.00120491,0.00120491
30,166.996,0.48574,0.48628,1.03106,0.99866,0.92334,0.995,0.88858,0.48748,0.63989,1.1501,0.0011884,0.0011884,0.0011884
31,171.37,0.51177,0.529,1.04381,0.99472,0.94804,0.99192,0.88458,0.57259,0.86183,1.2516,0.0011719,0.0011719,0.0011719
32,176.635,0.47489,0.47476,1.01475,0.93171,0.91667,0.98595,0.82018,0.63722,1.00088,1.28757,0.0011554,0.0011554,0.0011554
33,182.364,0.49829,0.4789,1.04717,0.99119,0.95833,0.985,0.86777,0.54058,0.62553,1.14743,0.00113889,0.00113889,0.00113889
34,187.038,0.51129,0.49689,1.04713,0.9722,0.95441,0.96833,0.82389,0.63014,0.69249,1.28247,0.00112239,0.00112239,0.00112239
35,193.005,0.47602,0.45097,0.99718,0.98628,0.91998,0.96797,0.81494,0.67131,0.85198,1.31217,0.00110589,0.00110589,0.00110589
36,197.589,0.4719,0.46002,1.01954,0.8953,0.83208,0.9724,0.82781,0.61273,1.11309,1.29722,0.00108938,0.00108938,0.00108938
37,202.376,0.50127,0.46257,1.01682,0.7634,0.96206,0.95545,0.84303,0.62557,1.04283,1.26119,0.00107288,0.00107288,0.00107288
38,208.476,0.46459,0.45127,0.99358,0.92254,1,0.98885,0.86992,0.5724,0.64375,1.24899,0.00105638,0.00105638,0.00105638
39,212.91,0.47104,0.44408,1.01278,0.98706,0.97276,0.995,0.89618,0.5169,0.45081,1.19941,0.00103987,0.00103987,0.00103987
40,218.344,0.45676,0.42532,1.00928,0.97023,0.99422,0.995,0.85918,0.58649,0.42486,1.26288,0.00102337,0.00102337,0.00102337
41,224.095,0.4451,0.41589,0.99179,0.96279,0.9926,0.995,0.89613,0.53182,0.48448,1.17283,0.00100687,0.00100687,0.00100687
